company_code,employee_name,employee_role
aon,Kirk A. Behrens,Chief Information Officer
aon,Frances Sigurani,Chief Administrative Officer
aon,Leslie Follmer,Senior Vice President and Head of Investor Relations
aon,Darren Zeidel,"Executive Vice President, General Counsel and Company Secretary"
aos,Kevin J. Wheeler,"Chairman, President, and Chief Executive Officer"
aos,Charles T. Lauber,Executive Vice President and Chief Financial Officer
aos,James F. Stern,"Executive Vice President, General Counsel and Secretary"
aos,Mark A. Petrarca,Senior Vice President of Human Resources and Public Affairs
aos,David R. Warren,Senior Vice President and President and GM of North American Water Heating
aos,Samuel M. Carver,Senior Vice President of Global Operations
aos,Robert J. Heideman,Senior Vice President and Chief Technology Officer
aos,S. Melissa Scheppele,Senior Vice President and Chief Information Officer
aos,Patricia K. Ackerman,"Senior Vice President of Investor Relations, Corporate Responsibility and Sustainability and Treasurer"
aos,Daniel L. Kempken,Senior Vice President of Corporate Development and Strategy
apa,John J. Christmann IV,"Chief Executive Officer, President and Director"
apa,Stephen J. Riney,Executive Vice President and Chief Financial Officer
apa,David Clay Bretches,Executive Vice President of Operations
apa,P. Anthony Lannie,Executive Vice President and General Counsel
apa,David Alan Pursell,Executive Vice President of Development
apa,Rebecca A. Hoyt,"Senior Vice President, Chief Accounting Officer and Controller"
apa,Mark D. Maddox,Senior Vice President of Administrative
apa,Gary Thomas Clark,Vice President of Investor Relations
apa,Castlen Kennedy,Vice President of Corporate Communications and Public Affairs
apa,Ben C. Rodgers,Senior Vice President of Midstream and Marketing and Treasurer
aapl,Timothy D. Cook,Chief Executive Officer and Director
aapl,Luca Maestri,Chief Financial Officer and Senior Vice President
aapl,Jeffrey E. Williams,Chief Operating Officer
aapl,Katherine L. Adams,"Senior Vice President, General Counsel and Secretary"
aapl,Deirdre O'Brien,Senior Vice President of People and Retail
aapl,Chris Kondo,Senior Director of Corporate Accounting
aapl,James Wilson,Chief Technology Officer
aapl,Mary Demby,Chief Information Officer
aapl,Nancy Paxton,Senior Director of Investor Relations and Treasury
aapl,Greg Joswiak,Senior Vice President of Worldwide Marketing
amat,Gary E. Dickerson,"President, Chief Executive Officer and Executive Director"
amat,Daniel J. Durn,Senior Vice President and Chief Financial Officer
amat,Teri A. Little,"Senior Vice President, Chief Legal Officer and Corporate Secretary"
amat,Ali Salehpour,"Senior Vice President of Services, Display and Flexible Technology"
amat,Dr. Prabu G. Raja,Senior Vice President of Semiconductor Products Group
amat,Dr. Ginetto Addiego,Senior Vice President of Global Operations and Corporate Quality
amat,Charles W. Read,"Corporate Vice President, Corporate Controller and Chief Accounting Officer"
amat,Dr. Omkaram Nalamasu,"Senior Vice President, Chief Technology Officer and Chair of the Growth Technical Advisory Board"
amat,Jay O. Kerley,Chief Information Officer
amat,Michael Sullivan,Vice President of Investor Relations
aptv,Kevin P. Clark,"President, Chief Executive Officer and Director"
aptv,Joseph R. Massaro,Senior Vice President of Business Operations and Chief Financial Officer
aptv,Mariya K. Trickett,Senior Vice President and Chief Human Resources Officer
aptv,David Paja,Senior Vice President and President of Advanced Safety and User Experience Segment
aptv,Allan J. Brazier,Vice President and Chief Accounting Officer
aptv,Glen W. De Vos,Senior Vice President and Chief Technology Officer
aptv,Matthew Peterson,Senior Vice President and Chief Information Officer
aptv,Elena Doom Rosman,Vice President of Investor Relations
aptv,Katherine Hargrove Ramundo,"Senior Vice President, Chief Legal Officer, Chief Compliance Officer and Secretary"
aptv,Michael Gassen,"Senior Vice President of Sales and President of Europe, Middle East, Africa and Russia"
adm,Juan Ricardo Luciano,"Chairman, Chief Executive Officer and Pres"
adm,Ray Guy Young,Executive Vice President and Chief Financial Officer
adm,Vincent F. Macciocchi,"Chief Sales and Marketing Officer, President of Nutrition and Senior Vice President"
adm,Joseph Daniel Taets,Senior Vice President and President of Global Business Readiness and Vice President of Global Procurement
adm,Gregory A. Morris,Senior Vice President and President of Agricultural Services and Oilseeds
adm,Veronica L. Braker,Senior Vice President of Global Operations
adm,Molly Strader Fruit,Vice President and Corporate Controller
adm,Kristy Folkwein,Senior Vice President and Chief Information Officer
adm,Mark D. Schweitzer,Vice President of Investor Relations
adm,D. Cameron Findlay,"Senior Vice President, General Counsel and Secretary"
anet,Dr. Andreas B. Bechtolsheim,"Co-Founder, Chairman and Chief Development Officer"
anet,Jayshree V. Ullal,"President, Chief Executive Officer and Director"
anet,Kenneth Duda,"Co-Founder, Chief Technology Officer and Senior Vice President of Software Engineering"
anet,Ita M. Brennan,Chief Financial Officer and Senior Vice President
anet,Anshul Sadana,Chief Operating Officer
anet,Marc Taxay,Senior Vice President and General Counsel
anet,Curtis McKee,Head of Corporate and Investor Development
anet,Mark Foss,Senior Vice President of Global Operations and Marketing
anet,Ciarán Kennedy,Chief Sales Officer
anet,Isabelle Bertin-Bailly,Group Vice President of Worldwide Human Resources and Operations
ajg,J. Patrick Gallagher Jr.,"Chairman, President and Chief Executive Officer"
ajg,Douglas K. Howell,Corporate Vice President and Chief Financial Officer
ajg,Walter D. Bay,"Corporate Vice President, General Counsel and Secretary"
ajg,Thomas Joseph Gallagher,Corporate Vice President and President of Global Property and Casualty Brokerage Operation
ajg,Scott R. Hudson,Corporate Vice President and President of Risk Management Operation
ajg,David R. Long,Vice President
ajg,Richard C. Cary,Chief Accounting Officer and Controller
ajg,Sean P. Connelly,Global Chief Information Officer and Corporate Vice President
ajg,Raymond Iardella,Vice President of Investor Relations
ajg,Linda J. Collins,Vice President of Corporate Communications
aiz,Alan B. Colberg,"President, Chief Executive Officer and Director"
aiz,Richard Steven Dziadzio,Executive Vice President and Chief Financial Officer
aiz,Gene Edward Mergelmeyer,Executive Vice President and Chief Operating Officer
aiz,Francesca Luthi,Executive Vice President and Chief Administrative Officer
aiz,Keith Warner Demmings,Executive Vice President and President of Global Lifestyle
aiz,Vadim Lipovetsky,Chief Investment Officer
aiz,Dimitry DiRienzo,"Senior Vice President, Chief Accounting Officer and Controller"
aiz,Joseph A. Surber III,Senior Vice President and Global Technology Officer
aiz,Suzanne Shepherd,Senior Vice President of Investor Relations
aiz,John Pawloski,Senior Vice President and Chief Compliance Officer
t,John T. Stankey,"Chief Executive Officer, President and Director"
t,David R. McAtee II,Senior Executive Vice President and General Counsel
t,Jeffery Scott McElfresh,Chief Executive Officer of AT&T Communications LLC
t,Jason Kilar,Chief Executive Officer of WarnerMedia LLC
t,Pascal Desroches,Senior Executive Vice President and Chief Financial Officer
t,Marachel Knight,Senior Vice President of Engineering and Operations
t,Andre Fuetsch,Chief Technology Officer and President AT&T Labs
t,Amir Rozwadowski,Senior Vice President of Finance and Investor Relations
t,David S. Huntley,Senior Executive Vice President and Chief Compliance Officer
t,Larry Solomon,Chief Communications Officer
ato,John Kevin Akers,"Chief Executive Officer, President and Director"
ato,Christopher T. Forsythe,Senior Vice President and Chief Financial Officer
ato,Karen E. Hartsfield,"Senior Vice President, General Counsel and Corporate Secretary"
ato,David J. Park,Senior Vice President of Utility Operations
ato,Jeffrey S. Knights,Senior Vice President of Technical and Operating Services
ato,Richard J. Gius,Vice President and Chief Information Officer
ato,Daniel M. Meziere,Vice President of Investor Relations and Treasurer
ato,Liz C. Beauchamp,Vice President of Gov.al and Public Affairs
ato,John M. Robbins,Senior Vice President of Human Resources
ato,Jeff D. Martinez,President of Atmos Pipeline - Texas
adsk,Dr. Andrew Anagnost,"President, Chief Executive Officer and Director"
adsk,Dr. Pascal W. Di Fronzo,"Executive Vice President of Corporate Affairs, Chief Legal Officer and Corporate Secretary"
adsk,Steven M. Blum,Chief Revenue Officer
adsk,John Walker,Founder
adsk,Dan Drake,Founder
adsk,Greg Lutz,Founder
adsk,Deborah L. Clifford,Executive Vice President and Chief Financial Officer
adsk,Moonhie Chin,Senior Vice President of Global Customer Support and Operations
adsk,Stephen W. Hope,Vice President and Chief Accounting Officer
adsk,Venmal Arasu,Chief Technology Officer
adp,Carlos A. Rodriguez,"Chief Executive Officer, President and Director"
adp,Kathleen A. Winters,Corporate Vice President and Chief Financial Officer
adp,Donald Weinstein,Corporate Vice President of Global Product and Technology
adp,Maria Black,President of Worldwide Sales and Marketing
adp,John C. Ayala,President of Employer Services North America
adp,Brock Albinson,Corporate Controller and Principal Accounting Officer
adp,Vipul Nagrath,Global Chief Information Officer
adp,Christian Greyenbuhl,Vice President of Investor Relation
adp,Michael Anthony Bonarti,"Corporate Vice President, General Counsel and Corporate Secretary"
adp,Douglas W. Politi,President of Compliance Solutions
azo,William C. Rhodes III,"Chairman, President and Chief Executive Officer"
azo,Mark A. Finestone,"Executive Vice President of Merchandising, Supply Chain, Marketing and eCommerce"
azo,Thomas B. Newbern,"Executive Vice President of Store Operations, Commercial, Loss Prevention, ALLDATA and Customer Satisfaction"
azo,Philip B. Daniele,"Senior Vice President, Commercial, Customer Satisfaction"
azo,Jamere Jackson,"Chief Financial Officer, Executive Vice President - Finance and Store Development and Customer Satisfaction"
azo,Ronald B. Griffin,"Senior Vice President, Chief Information Officer and Customer Satisfaction"
azo,Brian L. Campbell,"Vice President of Tax, Treasury and Investor Relations"
azo,Kristen Collier Wright,"Senior Vice President, General Counsel, Secretary and Customer Satisfaction"
azo,Richard C. Smith,Senior Vice President of Human Resources and Customer Satisfaction
azo,Albert Saltiel,"Senior Vice President of Marketing, E-Commerce and Customer Satisfaction"
avb,Timothy J. Naughton,Chairman and Chief Executive Officer
avb,Kevin P. O'Shea,Chief Financial Officer
avb,Sean J. Breslin,Chief Operating Officer
avb,Matthew H. Birenbaum,Chief Investment Officer
avb,William M. McLaughlin,Executive Vice President of Development and Construction
avb,Benjamin W. Schall,President and Director
avb,Keri A. Shea,"Senior Vice President of Finance, Principal Accounting Officer and Treasurer"
avb,Jason Reilley,Vice President of Investor Relations
avb,Edward M. Schulman,"Executive Vice President, General Counsel and Secretary"
avb,Kurt D. Conway,Senior Vice President of Brand Strategy and Marketing
avy,Mitchell R. Butier,"Chairman, President and Chief Executive Officer"
avy,Gregory S. Lovins,Senior Vice President and Chief Financial Officer
avy,Deon Stander,Vice President and GM of Retail Branding and Information Solutions
avy,Kamran Kian,"Vice President of Global Operations and Supply Chain, Label and Graphic Materials"
avy,Lori J. Bondar,"Vice President, Controller, Treasurer and Chief Accounting Officer"
avy,Hassan H. Rmaile,GM of Global Graphics and Reflective Solutions and Vice President of Global Technology and Ventures
avy,Nicholas R. Colisto,Vice President and Chief Information Officer
avy,Cynthia S. Guenther,Vice President of Finance and Investor Relations
avy,Ignacio J. Walker,Vice President and Chief Legal Officer
avy,Danny Allouche,Vice President of Strategy and Corporate Development
bkr,Lorenzo Simonelli,"Chairman, President and Chief Executive Officer"
bkr,Brian Worrell,Chief Financial Officer
bkr,Maria Claudia Borras,Executive Vice President of Oilfield Services
bkr,Roderick Christie,Executive Vice President of Turbomachinery and Process Solutions
bkr,Uwem Ukpong,"Executive Vice President of Regions, Alliances and Enterprise Sales"
bkr,Kurt Camilleri,"Senior Vice President, Controller and Chief Accounting Officer"
